epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4681,1.0729,1.86614,1.09689,0.79158,0.7551,0.79374,0.67017,0.78286,1.34633,0.96152,0.000413012,0.000413012,0.000413012
2,71.6936,0.76275,0.89082,0.9631,0.84538,0.82907,0.84546,0.70814,0.68653,0.86206,0.91353,0.000817944,0.000817944,0.000817944
3,105.903,0.71301,0.78503,0.94501,0.80239,0.87128,0.87461,0.70796,0.63731,0.79155,0.91114,0.00121109,0.00121109,0.00121109
4,140.39,0.68372,0.73183,0.93797,0.8118,0.78673,0.8854,0.79033,0.57398,0.70417,0.8742,0.00119696,0.00119696,0.00119696
5,174.827,0.63393,0.67112,0.92386,0.8601,0.86463,0.89115,0.8076,0.54908,0.71269,0.86942,0.00117929,0.00117929,0.00117929
6,209.036,0.60335,0.63234,0.91278,0.88154,0.86432,0.8975,0.81136,0.56438,0.62698,0.86106,0.00116161,0.00116161,0.00116161
7,243.702,0.57817,0.6006,0.90349,0.8869,0.85882,0.89955,0.8166,0.48671,0.59714,0.84734,0.00114393,0.00114393,0.00114393
8,278.132,0.56974,0.59554,0.90198,0.89053,0.86682,0.90727,0.83701,0.46946,0.58376,0.84228,0.00112625,0.00112625,0.00112625
9,313.113,0.54983,0.57348,0.8944,0.8938,0.86079,0.90776,0.8408,0.4632,0.57234,0.84189,0.00110857,0.00110857,0.00110857
10,347.684,0.52792,0.55502,0.88764,0.8919,0.86749,0.90303,0.84061,0.44797,0.57991,0.83601,0.00109089,0.00109089,0.00109089
11,382.187,0.52301,0.54762,0.88717,0.89574,0.86496,0.90857,0.84699,0.43022,0.55495,0.83259,0.00107321,0.00107321,0.00107321
12,416.742,0.5166,0.54856,0.88537,0.86692,0.8744,0.90142,0.84288,0.43431,0.59208,0.83473,0.00105554,0.00105554,0.00105554
13,452.441,0.50457,0.53382,0.8813,0.89154,0.86715,0.91674,0.86052,0.40952,0.53353,0.82664,0.00103786,0.00103786,0.00103786
14,487.403,0.4998,0.52712,0.8819,0.89414,0.85226,0.91708,0.85168,0.43187,0.57389,0.83162,0.00102018,0.00102018,0.00102018
15,522.201,0.48933,0.51128,0.8778,0.89735,0.8731,0.91956,0.86831,0.39038,0.52084,0.81716,0.0010025,0.0010025,0.0010025
16,556.698,0.48524,0.50884,0.87441,0.89863,0.87022,0.91606,0.863,0.41068,0.53074,0.82452,0.000984821,0.000984821,0.000984821
17,591.782,0.48723,0.51274,0.87782,0.90167,0.86903,0.92326,0.87004,0.39097,0.52315,0.81845,0.000967143,0.000967143,0.000967143
18,626.414,0.46786,0.49292,0.87139,0.88637,0.87503,0.90695,0.85854,0.40563,0.53095,0.82237,0.000949464,0.000949464,0.000949464
19,661.878,0.46233,0.48963,0.8701,0.89679,0.87141,0.91331,0.8667,0.37719,0.52326,0.8176,0.000931786,0.000931786,0.000931786
20,696.768,0.46051,0.48501,0.86948,0.90774,0.87139,0.92547,0.87878,0.37218,0.50229,0.81489,0.000914107,0.000914107,0.000914107
